ticker,market,date,dividend,split_ratio,raw_overnight_gap_pct,adjusted_overnight_gap_pct,absolute_gap_reduction_pct_point,raw_smma200_change_pct,adjusted_smma200_change_pct,smma200_jump_reduction_pct_point
HUM,US,2025-09-26,0.885,0.0,0.6957,1.0472,-0.3515,-0.077865,-0.072476,0.005389
HUM,US,2025-12-26,0.885,0.0,-0.3819,-0.0406,0.3412,-0.055242,-0.04942,0.005822
HUM,US,2026-03-27,0.885,0.0,-0.9364,-0.4333,0.5031,-0.185121,-0.180241,0.00488
HUM,US,2026-06-26,0.885,0.0,-0.4442,-0.2093,0.2349,0.20669,0.216279,-0.009589
MCO,US,2023-08-17,0.77,0.0,-0.006,0.2267,-0.2207,,,
MCO,US,2023-11-22,0.77,0.0,0.3079,0.5206,-0.2128,,,
MCO,US,2024-02-22,0.85,0.0,1.2292,1.4587,-0.2295,,,
MCO,US,2024-05-16,0.85,0.0,-0.2879,-0.0807,0.2072,0.06825,0.070887,-0.002638
MCO,US,2024-08-16,0.85,0.0,-0.1092,0.0729,0.0363,0.111853,0.114938,-0.003085
MCO,US,2024-11-22,0.85,0.0,0.0021,0.1803,-0.1782,0.088053,0.091059,-0.003006
MCO,US,2025-02-25,0.94,0.0,0.7286,0.918,-0.1894,0.083512,0.086697,-0.003185
MCO,US,2025-05-16,0.94,0.0,-0.0759,0.1172,-0.0413,0.060169,0.063517,-0.003348
MCO,US,2025-08-15,0.94,0.0,0.0249,0.2056,-0.1807,0.070854,0.074298,-0.003444
MCO,US,2025-11-21,0.94,0.0,0.354,0.5532,-0.1992,0.017721,0.020907,-0.003186
MCO,US,2026-03-02,1.03,0.0,-1.6939,-1.4814,0.2125,-0.005196,-0.001974,0.003221
MCO,US,2026-05-15,1.03,0.0,-0.0462,0.1923,-0.1461,-0.039243,-0.035814,0.003429
PSA,US,2023-09-12,3.0,0.0,-1.439,-0.3582,1.0808,,,
PSA,US,2023-12-12,3.0,0.0,-1.5172,-0.4382,1.0789,,,
PSA,US,2024-03-12,3.0,0.0,-1.4434,-0.4191,1.0242,,,
PSA,US,2024-06-12,3.0,0.0,1.2234,2.3413,-1.1179,0.000879,0.01332,-0.012441
PSA,US,2024-09-13,3.0,0.0,-0.5096,0.3285,0.181,0.128818,0.145048,-0.016231
PSA,US,2024-12-13,3.0,0.0,-1.3966,-0.4657,0.9308,0.027514,0.041879,-0.014364
PSA,US,2025-03-13,3.0,0.0,-1.0578,-0.0699,0.9879,-0.013472,0.001274,0.012198
PSA,US,2025-06-12,3.0,0.0,-0.7096,0.2928,0.4168,-0.005387,0.0106,-0.005212
PSA,US,2025-09-15,3.0,0.0,-0.2976,0.7362,-0.4386,-0.017233,-0.000767,0.016466
PSA,US,2025-12-15,3.0,0.0,-0.0545,1.0479,-0.9934,-0.035237,-0.018438,0.016798
PSA,US,2026-03-16,3.0,0.0,-2.1463,-1.1502,0.9961,-0.002392,0.016015,-0.013623
PSA,US,2026-06-15,3.0,0.0,-0.9634,-0.0434,0.92,0.047534,0.06728,-0.019746
NOC,US,2023-08-25,1.87,0.0,0.0648,0.4996,-0.4348,,,
NOC,US,2023-11-24,1.87,0.0,0.0106,0.4089,-0.3983,,,
NOC,US,2024-02-23,1.87,0.0,-0.2691,0.1406,0.1285,,,
NOC,US,2024-05-24,2.06,0.0,-0.3767,0.0645,0.3122,0.008618,0.013359,-0.00474
NOC,US,2024-09-03,2.06,0.0,-0.107,0.2878,-0.1808,0.067903,0.073903,-0.006
NOC,US,2024-12-02,2.06,0.0,-0.5412,-0.121,0.4202,0.009479,0.015433,-0.005954
NOC,US,2025-03-03,2.06,0.0,1.0006,1.4532,-0.4526,-0.001292,0.005273,-0.003981
NOC,US,2025-06-02,2.31,0.0,-0.7509,-0.2757,0.4752,0.00473,0.011955,-0.007225
NOC,US,2025-09-02,2.31,0.0,0.3118,0.7061,-0.3943,0.094031,0.102349,-0.008319
NOC,US,2025-12-01,2.31,0.0,-0.7899,-0.3878,0.4021,0.02417,0.031396,-0.007226
NOC,US,2026-02-23,2.31,0.0,-0.3179,0.0014,0.3165,0.162081,0.170744,-0.008664
NOC,US,2026-06-01,2.47,0.0,-0.6653,-0.2281,0.4372,-0.030949,-0.024724,0.006225
